submission_pk,User,b'Score',b'AScore'
827713,ttqminh2005,15.00 (1),15.00 (1),
827630,cntn51,15.00 (1),15.00 (1),
827553,TuDaiThachHau,15.00 (1),15.00 (1),
827523,siuchampion,15.00 (1),15.00 (1),
827490,dauli_battu,15.00 (1),15.00 (1),
827403,lTIPl,15.00 (1),15.00 (1),
827646,annivators,14.80 (2),14.80 (2),
827606,polieste,14.40 (3),14.40 (3),
827560,SIU_AIC_COMP,14.20 (4),14.20 (4),
827737,jenicius,14.00 (5),14.00 (5),
827731,ArgusTeam,14.00 (5),14.00 (5),
827628,Chicken,14.00 (5),14.00 (5),
827600,phamgiakiet273,14.00 (5),14.00 (5),
827499,ThePANKalliance,14.00 (5),14.00 (5),
827488,hermes_aic2024,14.00 (5),14.00 (5),
827399,Rookie_UIT,14.00 (5),14.00 (5),
827478,sabertoaster,13.80 (6),13.80 (6),
827707,huyvuong0859,13.80 (6),13.80 (6),
827666,quangtudubai,13.80 (6),13.80 (6),
827507,AIO_WAO_HCMAI,13.80 (6),13.80 (6),
827433,ToTuanAn,13.80 (6),13.80 (6),
827582,cieldt,13.60 (7),13.60 (7),
827552,Artemis5,13.40 (8),13.40 (8),
827612,Giant_Ants,13.20 (9),13.20 (9),
827716,capybarahcmut,13.00 (10),13.00 (10),
827635,Melody-HCMC-AI-Challenge,13.00 (10),13.00 (10),
827564,AIO_BrainyBots,13.00 (10),13.00 (10),
827735,thebluestart,12.80 (11),12.80 (11),
827722,minhanh29,12.80 (11),12.80 (11),
827688,Star_team,12.80 (11),12.80 (11),
827736,Th3Boys,12.60 (12),12.60 (12),
827660,aio_naktho,12.60 (12),12.60 (12),
827427,Nietzsche,12.60 (12),12.60 (12),
827556,seed_3_last_hope,12.00 (13),12.00 (13),
827748,aioyoungbird,12.00 (13),12.00 (13),
827726,EmberintheAshes,12.00 (13),12.00 (13),
827678,vtphatt2,12.00 (13),12.00 (13),
827648,uit22520982,12.00 (13),12.00 (13),
827569,DucNguyen25,12.00 (13),12.00 (13),
827706,Thereddinosaur,11.80 (14),11.80 (14),
827692,ptq.us,11.80 (14),11.80 (14),
827633,tvminh19,11.80 (14),11.80 (14),
827627,snapseek,11.80 (14),11.80 (14),
827571,zoanhy,11.80 (14),11.80 (14),
827745,AIO_ITCC,11.40 (15),11.40 (15),
827544,comuathu1011,11.20 (16),11.20 (16),
827746,ThuongBuiRVC,11.00 (17),11.00 (17),
827730,phatvu,11.00 (17),11.00 (17),
827663,ldn694,11.00 (17),11.00 (17),
827577,raumuongxaothitbo,11.00 (17),11.00 (17),
827744,STRIVERS,10.80 (18),10.80 (18),
827742,InventedForFuture,10.80 (18),10.80 (18),
827739,Rt-lttrung,10.80 (18),10.80 (18),
827721,anhminh2909,10.80 (18),10.80 (18),
827720,ai_avenger,10.80 (18),10.80 (18),
827689,nhomhai,10.80 (18),10.80 (18),
827702,aio_aisight,10.40 (19),10.40 (19),
827677,vietnamese.tet,10.40 (19),10.40 (19),
